Text Type,Institution Type,Rule/Norm/Strategy,Level of Analysis,Attribute_lo,Attribute_hi,Attribute_position,Deontic_lo,Deontic_hi,Deontic_position,aIm_lo,aIm_hi,aIm_position,oBject_lo,oBject_hi,oBject_position,Or Else_lo,Or Else_hi,Or Else_position,Condition_lo,Condition_hi,Condition_position
0.9,0.7,0.3,0.2,0.6,0.6,1.25,0.6,0.6,1.25,0.6,0.6,0.75,0.6,0.6,0.875,0.4,0.6,1.25,0.7,0.7,0.875
0.7,1.0,0.5,0.4,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,1.0,2.0,1.0,1.0,2.0
0.9,0.7,0.3,0.2,0.6,0.6,0.38461538461538464,0.6,0.6,0.38461538461538464,0.6,0.6,0.2692307692307692,0.6,0.6,0.2692307692307692,0.4,0.6,0.38461538461538464,0.6,0.6,0.2692307692307692
0.7,1.0,0.5,0.4,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,0.8,1.0,2.5,1.0,1.0,2.5
0.5,1.0,0.5,0.4,0.9,0.9,0.38461538461538464,0.9,0.9,0.38461538461538464,0.9,0.9,0.38461538461538464,1.0,1.0,0.38461538461538464,0.7,0.9,0.38461538461538464,1.0,1.0,0.38461538461538464
0.7,1.0,0.5,0.4,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,1.0,2.0,1.0,1.0,2.0
0.9,0.7,0.3,0.2,0.6,0.6,0.7142857142857143,0.6,0.6,0.7142857142857143,0.6,0.6,0.5,0.9,0.9,0.6428571428571429,0.4,0.6,0.7142857142857143,0.9,0.9,0.6428571428571429
0.7,1.0,0.5,0.4,1.0,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667,0.8,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667
0.8,0.7,0.3,0.2,0.6,0.6,0.47619047619047616,0.6,0.6,0.47619047619047616,0.6,0.6,0.3333333333333333,0.6,0.6,0.2857142857142857,0.4,0.6,0.47619047619047616,0.7,0.7,0.3333333333333333
0.7,1.0,0.5,0.4,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,1.0,2.0,1.0,1.0,2.0
0.5,1.0,0.5,0.4,0.9,0.9,0.34615384615384615,0.9,0.9,0.38461538461538464,0.9,0.9,0.34615384615384615,0.9,0.9,0.34615384615384615,0.8,1.0,0.38461538461538464,1.0,1.0,0.38461538461538464
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.8,1.0,0.5,0.4,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,0.8,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335
0.7,1.0,0.5,0.4,1.0,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667,0.8,1.0,1.6666666666666667,1.0,1.0,1.6666666666666667
0.5,1.0,0.5,0.4,1.0,1.0,1.4285714285714286,1.0,1.0,1.4285714285714286,1.0,1.0,1.4285714285714286,1.0,1.0,1.4285714285714286,0.8,1.0,1.4285714285714286,1.0,1.0,1.4285714285714286
0.9,1.0,0.5,0.4,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,0.8,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335
0.9,1.0,0.5,0.4,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,2.5,0.8,1.0,2.5,1.0,1.0,2.5
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.9,1.0,0.5,0.4,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,0.8,1.0,10.0,1.0,1.0,10.0
0.9,1.0,0.5,0.4,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,0.8,1.0,5.0,1.0,1.0,5.0
0.7,0.8,0.3,0.2,0.8,0.8,1.2857142857142858,0.8,0.8,1.4285714285714286,0.8,0.8,1.2857142857142858,0.8,0.8,1.1428571428571428,0.7,0.9,1.2857142857142858,1.0,1.0,1.4285714285714286
0.5,0.5,0.3,0.3,0.6,0.6,3.3333333333333335,0.6,0.6,3.3333333333333335,0.6,0.6,3.0,0.9,0.9,3.0,0.8,1.0,3.3333333333333335,0.8,0.8,2.6666666666666665
0.9,1.0,0.5,0.4,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,0.8,1.0,5.0,1.0,1.0,5.0
0.6,1.0,0.5,0.4,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335,0.8,1.0,3.3333333333333335,1.0,1.0,3.3333333333333335
0.6,0.9,0.5,0.4,0.9,0.9,5.0,0.9,0.9,5.0,1.0,1.0,5.0,1.0,1.0,5.0,0.8,1.0,5.0,1.0,1.0,5.0
0.6,0.7,0.3,0.2,0.7,0.7,10.0,0.7,0.7,10.0,0.8,0.8,10.0,0.8,0.8,8.0,0.8,1.0,10.0,1.0,1.0,10.0
0.5,0.5,0.3,0.3,0.6,0.6,2.5,0.6,0.6,2.5,0.7,0.7,2.5,0.7,0.7,2.0,0.8,1.0,2.5,1.0,1.0,2.5
